locus_tag,product,protein_id
BHE81_RS18305,50S ribosomal protein L28,WP_000091955.1
BHE81_RS18310,RadC family protein,WP_002922589.1
BHE81_RS18315,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,WP_004188117.1
BHE81_RS18320,dUTP diphosphatase,WP_004145270.1
BHE81_RS18325,nucleoid occlusion factor SlmA,WP_002922598.1
BHE81_RS18330,SMP-30/gluconolactonase/LRE family protein,WP_004173905.1
BHE81_RS18335,orotate phosphoribosyltransferase,WP_002922600.1
BHE81_RS18340,ribonuclease PH,WP_002922602.1
BHE81_RS18345,ABC transporter permease,WP_032410114.1
BHE81_RS18350,ABC transporter ATP-binding protein,WP_004173902.1
BHE81_RS18355,HlyD family secretion protein,WP_270031033.1
BHE81_RS28290,hypothetical protein,WP_065809828.1
BHE81_RS18360,lysophospholipid acyltransferase family protein,
BHE81_RS18365,YicC/YloC family endoribonuclease,WP_002922636.1
BHE81_RS18370,isocitrate lyase/PEP mutase family protein,WP_019725184.1
BHE81_RS18375,bifunctional transcriptional activator/DNA repair enzyme AdaA,WP_019725183.1
BHE81_RS18380,chloride channel protein,WP_009308789.1
BHE81_RS18385,trimeric intracellular cation channel family protein,WP_002922654.1
BHE81_RS18390,NAD-dependent DNA ligase LigB,WP_023342573.1
BHE81_RS18395,guanylate kinase,WP_002922664.1
BHE81_RS18400,DNA-directed RNA polymerase subunit omega,WP_000135058.1
BHE81_RS18405,bifunctional GTP diphosphokinase/guanosine-3'%2C5'-bis pyrophosphate 3'-pyrophosphohydrolase,WP_004150214.1
BHE81_RS18410,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,WP_004181538.1
BHE81_RS18415,ATP-dependent DNA helicase RecG,WP_004151504.1
BHE81_RS18420,class II fructose-bisphosphatase,WP_002922903.1
BHE81_RS18425,ferredoxin--NADP(+) reductase,WP_002922904.1
BHE81_RS18430,DUF805 domain-containing protein,WP_004173894.1
BHE81_RS18435,YiiQ family protein,WP_004186171.1
BHE81_RS18440,triose-phosphate isomerase,WP_002922909.1
BHE81_RS18445,SLC13 family permease,WP_004151505.1
BHE81_RS18450,CDP-diacylglycerol diphosphatase,WP_014906767.1
BHE81_RS18455,sulfate ABC transporter substrate-binding protein,WP_002922936.1
BHE81_RS18460,septal ring assembly protein ZapB,WP_004150222.1
BHE81_RS18465,MIP/aquaporin family protein,WP_002922941.1
BHE81_RS18470,glycerol kinase GlpK,WP_002922944.1
BHE81_RS18475,sodium/glutamate symporter,WP_002922948.1
BHE81_RS18480,nucleobase:cation symporter-2 family protein,WP_002922950.1
BHE81_RS18485,AsmA family protein,WP_004901441.1
BHE81_RS18490,PTS transporter subunit EIIC,WP_002922953.1
BHE81_RS18495,glycoside hydrolase,WP_002922956.1
BHE81_RS18500,MurR/RpiR family transcriptional regulator,WP_004173889.1
BHE81_RS18505,alpha-xylosidase,WP_023301427.1
BHE81_RS18510,glycoside-pentoside-hexuronide family transporter,WP_002922962.1
BHE81_RS18520,tyrosine-type recombinase/integrase,
BHE81_RS18525,SLATT domain-containing protein,WP_223177848.1
BHE81_RS18530,reverse transcriptase domain-containing protein,WP_023342572.1
BHE81_RS18540,phage polarity suppression protein,
BHE81_RS18545,ogr/Delta-like zinc finger family protein,WP_048264100.1
BHE81_RS18550,DUF3237 domain-containing protein,WP_002922963.1
BHE81_RS18555,zinc-binding alcohol dehydrogenase family protein,WP_004181552.1
BHE81_RS18560,putative quinol monooxygenase,WP_002922965.1
BHE81_RS18565,winged helix-turn-helix transcriptional regulator,WP_020801609.1
BHE81_RS18570,NAD(P)-dependent alcohol dehydrogenase,WP_004901462.1
BHE81_RS18575,GlxA family transcriptional regulator,WP_004145010.1
BHE81_RS18580,MBL fold metallo-hydrolase,WP_004173886.1
BHE81_RS18585,NUDIX hydrolase,WP_021440918.1
BHE81_RS18590,DMT family transporter,WP_021440919.1
BHE81_RS18595,lipoprotein NlpA,WP_004173884.1
BHE81_RS18600,AraC family transcriptional regulator,WP_004150236.1
BHE81_RS18605,carboxymuconolactone decarboxylase family protein,WP_004145017.1
BHE81_RS18610,DUF1348 family protein,WP_021440921.1
BHE81_RS18615,pyridoxamine 5'-phosphate oxidase family protein,WP_021440922.1
BHE81_RS18620,LysR family transcriptional regulator,WP_002923020.1
BHE81_RS18625,MDR family MFS transporter,WP_149888818.1
BHE81_RS18630,TetR/AcrR family transcriptional regulator,WP_004181564.1
BHE81_RS18640,DUF2157 domain-containing protein,WP_002892998.1
BHE81_RS18645,sigma 54-interacting transcriptional regulator,WP_023302205.1
BHE81_RS18650,SIS domain-containing protein,WP_004147471.1
BHE81_RS18655,SIS domain-containing protein,WP_002893005.1
BHE81_RS18660,PTS system mannose/fructose/sorbose family transporter subunit IID,WP_004176976.1
BHE81_RS18665,PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC,WP_004183295.1
BHE81_RS18670,PTS sugar transporter subunit IIB,WP_004176974.1
BHE81_RS18675,PTS sugar transporter subunit IIA,WP_002893017.1
BHE81_RS18680,oxygen-insensitive NAD(P)H nitroreductase,WP_004178896.1
BHE81_RS18685,MmcQ/YjbR family DNA-binding protein,WP_023342943.1
BHE81_RS18690,TetR/AcrR family transcriptional regulator,WP_004176968.1
BHE81_RS18695,MBL fold metallo-hydrolase,WP_020316605.1
BHE81_RS18700,RamA family antibiotic efflux transcriptional regulator,WP_002893035.1
BHE81_RS18705,DUF1158 domain-containing protein,WP_002893037.1
BHE81_RS18715,cation-transporting P-type ATPase,WP_023302204.1
BHE81_RS18720,efflux RND transporter periplasmic adaptor subunit,WP_023302203.1
BHE81_RS18730,efflux RND transporter permease subunit,
BHE81_RS18735,phosphodiester glycosidase family protein,WP_004151678.1
BHE81_RS18740,YbdK family carboxylate-amine ligase,WP_004176954.1
BHE81_RS18745,ABC transporter substrate-binding protein,WP_023287344.1
BHE81_RS18750,ABC transporter permease,WP_004178910.1
BHE81_RS18755,ABC transporter permease,WP_004178912.1
BHE81_RS18760,ABC transporter ATP-binding protein,WP_004223507.1
BHE81_RS18765,ABC transporter ATP-binding protein,WP_021314482.1
BHE81_RS18770,Zn-dependent hydrolase,WP_016532222.1
BHE81_RS18775,DMT family transporter,WP_024622883.1
BHE81_RS18780,PLP-dependent aminotransferase family protein,WP_023302200.1
BHE81_RS18785,PLP-dependent aminotransferase family protein,WP_004176948.1
BHE81_RS18790,transporter substrate-binding domain-containing protein,WP_004176946.1
BHE81_RS18795,amino acid ABC transporter permease,WP_002893187.1
BHE81_RS18800,amino acid ABC transporter permease,WP_002893189.1
BHE81_RS18805,amino acid ABC transporter ATP-binding protein,WP_004151676.1
BHE81_RS18810,SDR family NAD(P)-dependent oxidoreductase,WP_004176941.1
BHE81_RS18815,aspartate aminotransferase family protein,WP_004214933.1
BHE81_RS18820,ABC transporter ATP-binding protein,WP_004178936.1
BHE81_RS18825,ABC transporter ATP-binding protein,WP_023302199.1
BHE81_RS18830,ABC transporter permease,WP_004142505.1
BHE81_RS18835,ABC transporter permease,WP_004176937.1
BHE81_RS18840,ABC transporter substrate-binding protein,WP_110246408.1
BHE81_RS18845,GNAT family N-acetyltransferase,WP_002893466.1
BHE81_RS18850,choline dehydrogenase,WP_004142489.1
BHE81_RS18855,betaine-aldehyde dehydrogenase,WP_023279733.1
BHE81_RS18860,transcriptional regulator BetI,WP_004151671.1
BHE81_RS18865,choline BCCT transporter BetT,WP_004142478.1
BHE81_RS18870,Ivy family C-type lysozyme inhibitor,WP_023342938.1
BHE81_RS29140,mechanosensitive ion channel family protein,WP_002893489.1
BHE81_RS18880,LysR substrate-binding domain-containing protein,WP_004142467.1
BHE81_RS18885,glutathione S-transferase,WP_012068413.1
BHE81_RS18890,SDR family oxidoreductase,WP_023342937.1
BHE81_RS18895,SDR family oxidoreductase,WP_002893589.1
BHE81_RS18900,ABC transporter permease,WP_002893591.1
BHE81_RS18905,sugar ABC transporter ATP-binding protein,WP_004176928.1
BHE81_RS18910,DUF2291 family protein,WP_004223554.1
BHE81_RS18915,D-ribose ABC transporter substrate-binding protein,WP_002893597.1
BHE81_RS18920,FGGY family carbohydrate kinase,WP_023302195.1
BHE81_RS18925,sugar-binding transcriptional regulator,WP_002893602.1
BHE81_RS18930,transketolase,WP_023302194.1
BHE81_RS18935,transketolase family protein,WP_023302193.1
BHE81_RS28815,4'-phosphopantetheinyl transferase superfamily protein,WP_228268721.1
BHE81_RS28820,enterobactin synthase subunit EntD,
BHE81_RS18945,siderophore enterobactin receptor FepA,WP_021441403.1
BHE81_RS18950,enterochelin esterase,WP_004176920.1
BHE81_RS18955,MbtH family protein,WP_004178967.1
BHE81_RS18960,enterobactin non-ribosomal peptide synthetase EntF,WP_023302191.1
BHE81_RS18965,iron-enterobactin ABC transporter ATP-binding protein,WP_002893737.1
BHE81_RS18970,iron-enterobactin ABC transporter permease,WP_023159215.1
BHE81_RS18975,Fe(3+)-siderophore ABC transporter permease,WP_149888836.1
BHE81_RS18980,enterobactin transporter EntS,WP_073545633.1
BHE81_RS18985,Fe2+-enterobactin ABC transporter substrate-binding protein,WP_004147526.1
BHE81_RS18990,isochorismate synthase EntC,WP_004176916.1
BHE81_RS18995,(2%2C3-dihydroxybenzoyl)adenylate synthase EntE,WP_020324573.1
BHE81_RS19000,enterobactin biosynthesis bifunctional isochorismatase/aryl carrier protein EntB,WP_004183356.1
BHE81_RS19005,2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase EntA,WP_024622880.1
BHE81_RS19010,proofreading thioesterase EntH,WP_023302190.1
BHE81_RS19015,pyruvate/proton symporter CstA,WP_002893896.1
BHE81_RS19020,YbdD/YjiX family protein,WP_002893903.1
BHE81_RS19025,MFS transporter,WP_023302189.1
BHE81_RS19030,ADP-ribosylglycohydrolase family protein,WP_023328713.1
BHE81_RS19035,SIS domain-containing protein,WP_157665543.1
BHE81_RS19040,carbohydrate kinase family protein,WP_023302186.1
BHE81_RS19045,esterase-like activity of phytase family protein,WP_023302185.1
BHE81_RS19050,GntR family transcriptional regulator,WP_023302184.1
BHE81_RS28295,XapX domain-containing protein,WP_023302183.1
BHE81_RS19055,adenosine deaminase family protein,WP_023302182.1
BHE81_RS19060,oligogalacturonate-specific porin KdgM family protein,WP_023302181.1
BHE81_RS19065,DUF2608 domain-containing protein,WP_023302180.1
BHE81_RS19070,helix-turn-helix domain-containing protein,WP_023302179.1
BHE81_RS19075,type II toxin-antitoxin system RelE family toxin,WP_023302178.1
BHE81_RS19080,SDR family NAD(P)-dependent oxidoreductase,WP_023342935.1
BHE81_RS19085,oxidoreductase,WP_110246411.1
BHE81_RS19090,sugar ABC transporter ATP-binding protein,WP_004183363.1
BHE81_RS19095,ABC transporter permease,WP_004176906.1
BHE81_RS19100,sugar ABC transporter substrate-binding protein,WP_023342933.1
BHE81_RS19105,LVIVD repeat-containing protein,WP_004210861.1
BHE81_RS19110,S-methyl-5-thioribose kinase,WP_004151657.1
BHE81_RS19115,S-methyl-5-thioribose-1-phosphate isomerase,WP_110246413.1
BHE81_RS19120,histidine phosphatase family protein,WP_004151656.1
BHE81_RS19125,MFS transporter,WP_002894151.1
BHE81_RS19130,inositol monophosphatase family protein,WP_004178995.1
BHE81_RS19135,LacI family DNA-binding transcriptional regulator,WP_072159393.1
BHE81_RS19140,cytosine deaminase,WP_023316570.1
BHE81_RS19145,PucR family transcriptional regulator,WP_002894159.1
BHE81_RS19150,cytosine permease,WP_002894162.1
BHE81_RS19155,methylthioribulose 1-phosphate dehydratase,WP_002894164.1
BHE81_RS19160,FGGY-family carbohydrate kinase,WP_023282286.1
BHE81_RS19165,2-hydroxyacid dehydrogenase,WP_023302172.1
BHE81_RS19170,carbohydrate kinase family protein,WP_023302171.1
BHE81_RS19175,ABC transporter permease,WP_004147554.1
BHE81_RS19180,ABC transporter permease,WP_004147555.1
BHE81_RS19185,sugar ABC transporter ATP-binding protein,WP_072198166.1
BHE81_RS19190,sugar ABC transporter substrate-binding protein,WP_002894353.1
BHE81_RS19195,molybdopterin-dependent oxidoreductase,WP_149888819.1
BHE81_RS19200,1%2C2-dihydroxy-3-keto-5-methylthiopentene dioxygenase,WP_002894357.1
BHE81_RS19205,acireductone synthase,WP_004179015.1
BHE81_RS19210,pyridoxal phosphate-dependent aminotransferase,WP_072145327.1
BHE81_RS19215,IbrB-like domain-containing protein,WP_004151651.1
BHE81_RS19220,phosphoadenosine phosphosulfate reductase,WP_002894369.1
BHE81_RS19225,DNA-binding transcriptional repressor CitR,WP_002894372.1
BHE81_RS19230,thiol:disulfide interchange protein DsbG,WP_002894375.1
BHE81_RS19235,alkyl hydroperoxide reductase subunit C,WP_002894394.1
BHE81_RS19240,alkyl hydroperoxide reductase subunit F,WP_004893443.1
BHE81_RS19245,universal stress protein UspG,WP_002894401.1
BHE81_RS19250,nucleoside diphosphate kinase regulator,WP_002894404.1
BHE81_RS19255,ribonuclease I,WP_004176884.1
BHE81_RS19260,anaerobic C4-dicarboxylate transporter DcuC,WP_004142371.1
BHE81_RS19265,lipid IV(A) palmitoyltransferase PagP,WP_004183399.1
BHE81_RS19270,transcription antiterminator/RNA stability regulator CspE,WP_002439184.1
BHE81_RS19275,fluoride efflux transporter CrcB,WP_004223642.1
BHE81_RS19280,deaminated glutathione amidase,WP_002894461.1
BHE81_RS19285,twin-arginine translocase subunit TatE,WP_002894464.1
BHE81_RS19290,lipoyl synthase,WP_002894467.1
BHE81_RS19295,YbeF family transcriptional regulator,WP_004220154.1
BHE81_RS19300,lipoyl(octanoyl) transferase LipB,WP_023302167.1
BHE81_RS19305,DUF493 family protein YbeD,WP_002894474.1
BHE81_RS19310,D-alanyl-D-alanine carboxypeptidase DacA,WP_002894539.1
BHE81_RS28825,SPOR domain-containing protein,WP_228268722.1
BHE81_RS19315,endolytic peptidoglycan transglycosylase RlpA,WP_228268723.1
BHE81_RS19320,peptidoglycan glycosyltransferase MrdB,WP_002894613.1
BHE81_RS19325,peptidoglycan DD-transpeptidase MrdA,WP_002894617.1
BHE81_RS19330,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,WP_002894620.1
BHE81_RS19335,ribosome silencing factor,WP_002894623.1
BHE81_RS19340,adenosylcobalamin/alpha-ribazole phosphatase,WP_023302165.1
BHE81_RS19345,nicotinate-nucleotide adenylyltransferase,WP_004176879.1
BHE81_RS19350,DNA polymerase III subunit delta,WP_024622874.1
BHE81_RS19355,LPS assembly lipoprotein LptE,WP_002894693.1
BHE81_RS19360,leucine--tRNA ligase,WP_004176877.1
BHE81_RS19365,zinc ribbon-containing protein,WP_002894699.1
BHE81_RS19370,filamentous hemagglutinin N-terminal domain-containing protein,WP_023302163.1
BHE81_RS19375,ShlB/FhaC/HecB family hemolysin secretion/activation protein,WP_004176875.1
BHE81_RS19380,amino acid ABC transporter ATP-binding protein,WP_002894706.1
BHE81_RS19385,glutamate/aspartate ABC transporter permease GltK,WP_002894707.1
BHE81_RS19390,amino acid ABC transporter permease,WP_002894709.1
BHE81_RS19395,amino acid ABC transporter substrate-binding protein,WP_002894712.1
BHE81_RS19400,apolipoprotein N-acyltransferase,WP_149888820.1
BHE81_RS19405,CNNM family magnesium/cobalt transport protein CorC,WP_004197606.1
BHE81_RS19410,rRNA maturation RNase YbeY,WP_002894722.1
BHE81_RS19415,PhoH family protein,WP_004176871.1
BHE81_RS19420,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,WP_002894730.1
BHE81_RS19425,3-demethoxyubiquinol 3-hydroxylase,WP_020802204.1
BHE81_RS19445,asparagine synthase B,WP_002894734.1
BHE81_RS19450,HAD-IIA family hydrolase,WP_002894738.1
BHE81_RS19455,DNA-binding transcriptional regulator NagC,WP_004179041.1
BHE81_RS19460,N-acetylglucosamine-6-phosphate deacetylase,WP_002894747.1
BHE81_RS19465,glucosamine-6-phosphate deaminase,WP_002894749.1
BHE81_RS19475,PTS N-acetyl glucosamine transporter subunit IIABC,WP_149888821.1
BHE81_RS19480,glutamine--tRNA ligase,WP_002894753.1
BHE81_RS29145,hypothetical protein,WP_410404544.1
BHE81_RS19490,chitoporin ChiP,WP_004152230.1
BHE81_RS19495,ChiQ/YbfN family lipoprotein,WP_002894759.1
BHE81_RS19500,MFS transporter,WP_165859155.1
BHE81_RS19505,ferric iron uptake transcriptional regulator,WP_002894761.1
BHE81_RS19510,flavodoxin FldA,WP_002894765.1
BHE81_RS19515,LexA regulated protein,WP_002894767.1
BHE81_RS19520,esterase,WP_004152229.1
BHE81_RS19525,replication initiation negative regulator SeqA,WP_002894771.1
BHE81_RS19530,phosphoglucomutase (alpha-D-glucose-1%2C6-bisphosphate-dependent),WP_002894773.1
BHE81_RS19535,hypothetical protein,WP_004893387.1
BHE81_RS19540,two-component system response regulator KdpE,WP_002894776.1
BHE81_RS19545,two-component system sensor histidine kinase KdpD,WP_004142255.1
BHE81_RS19550,potassium-transporting ATPase subunit KdpC,WP_149888822.1
BHE81_RS19555,potassium-transporting ATPase subunit KdpB,WP_004147607.1
BHE81_RS19560,potassium-transporting ATPase subunit KdpA,WP_004142245.1
BHE81_RS19565,K(+)-transporting ATPase subunit F,WP_020323459.1
BHE81_RS19570,DUF2517 family protein,WP_004142243.1
BHE81_RS19575,deoxyribodipyrimidine photo-lyase,WP_009308193.1
BHE81_RS19580,dipeptide permease DtpD,WP_004199663.1
BHE81_RS19585,type 2 GTP cyclohydrolase I,WP_004176858.1
BHE81_RS19590,5-oxoprolinase subunit PxpB,WP_004176857.1
BHE81_RS19595,5-oxoprolinase subunit PxpC,WP_004147614.1
BHE81_RS19600,5-oxoprolinase subunit PxpA,WP_023302160.1
BHE81_RS19605,DUF969 domain-containing protein,WP_023302159.1
BHE81_RS19610,DUF979 domain-containing protein,WP_149888823.1
BHE81_RS19615,pyroglutamyl-peptidase I,WP_004183438.1
BHE81_RS19620,endonuclease VIII,WP_004176853.1
BHE81_RS19625,citrate synthase,WP_002894943.1
BHE81_RS19630,succinate dehydrogenase cytochrome b556 subunit,WP_004142216.1
BHE81_RS19635,succinate dehydrogenase membrane anchor subunit,WP_002894949.1
BHE81_RS19640,succinate dehydrogenase flavoprotein subunit,WP_004179067.1
BHE81_RS19645,succinate dehydrogenase iron-sulfur subunit SdhB,WP_002894954.1
BHE81_RS19650,2-oxoglutarate dehydrogenase E1 component,WP_012068464.1
BHE81_RS19655,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,WP_004142209.1
BHE81_RS19660,ADP-forming succinate--CoA ligase subunit beta,WP_002895039.1
BHE81_RS19665,succinate--CoA ligase subunit alpha,WP_023302157.1
BHE81_RS19675,cytochrome ubiquinol oxidase subunit I,WP_002895047.1
BHE81_RS19680,cytochrome d ubiquinol oxidase subunit II,WP_002895049.1
BHE81_RS19685,cytochrome bd-I oxidase subunit CydX,WP_002895051.1
BHE81_RS19690,cyd operon protein YbgE,WP_002895053.1
BHE81_RS19695,tol-pal system-associated acyl-CoA thioesterase,WP_002895056.1
BHE81_RS19700,Tol-Pal system protein TolQ,WP_004152221.1
BHE81_RS19705,colicin uptake protein TolR,WP_002895061.1
BHE81_RS19710,cell envelope integrity protein TolA,WP_023302156.1
BHE81_RS19715,Tol-Pal system beta propeller repeat protein TolB,WP_002895066.1
BHE81_RS19720,peptidoglycan-associated lipoprotein Pal,WP_002895068.1
BHE81_RS19725,cell division protein CpoB,WP_002895071.1
BHE81_RS19740,hypothetical protein,WP_004218635.1
BHE81_RS19745,quinolinate synthase NadA,WP_002895074.1
BHE81_RS19750,nicotinamide riboside transporter PnuC,WP_004151689.1
BHE81_RS19755,CDF family zinc transporter ZitB,WP_004147641.1
BHE81_RS19760,YbgS-like family protein,WP_020804020.1
BHE81_RS19765,3-deoxy-7-phosphoheptulonate synthase AroG,WP_002895086.1
BHE81_RS19770,2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase,WP_002895089.1
BHE81_RS19775,galactose-1-epimerase,WP_023302155.1
BHE81_RS19780,galactokinase,WP_004179071.1
BHE81_RS19785,galactose-1-phosphate uridylyltransferase,WP_023302154.1
BHE81_RS19790,UDP-glucose 4-epimerase GalE,WP_023302153.1
BHE81_RS19795,molybdate ABC transporter ATP-binding protein ModF,WP_004179072.1
BHE81_RS19800,molybdenum-dependent transcriptional regulator,WP_002895154.1
BHE81_RS19805,AcrZ family multidrug efflux pump-associated protein,WP_002895156.1
BHE81_RS19810,molybdate ABC transporter substrate-binding protein,WP_023342925.1
BHE81_RS19815,molybdate ABC transporter permease subunit,WP_002895159.1
BHE81_RS19820,molybdenum ABC transporter ATP-binding protein ModC,WP_023302152.1
BHE81_RS19825,pyridoxal phosphatase,WP_002895164.1
BHE81_RS19830,6-phosphogluconolactonase,WP_004183458.1
BHE81_RS19835,biofilm development regulator YmgB/AriR family protein,WP_002895168.1
BHE81_RS19840,hypothetical protein,WP_004147654.1
BHE81_RS19845,regulatory protein YcgZ,WP_004151693.1
BHE81_RS19850,diguanylate phosphodiesterase,WP_004176831.1
BHE81_RS19855,MerR family transcriptional regulator,WP_004176830.1
BHE81_RS19860,helix-turn-helix transcriptional regulator,WP_004151695.1
BHE81_RS19865,biofilm development regulator YmgB/AriR family protein,WP_002895280.1
BHE81_RS28830,hypothetical protein,WP_077254074.1
BHE81_RS19875,IS110-like element IS4321 family transposase,WP_000427623.1
BHE81_RS19880,hypothetical protein,WP_023302150.1
BHE81_RS19885,acyltransferase,WP_002895284.1
BHE81_RS19890,efflux RND transporter permease subunit,WP_023342924.1
BHE81_RS19895,efflux RND transporter periplasmic adaptor subunit,WP_004183463.1
BHE81_RS19900,universal stress protein,WP_110246612.1
BHE81_RS19905,cation-transporting P-type ATPase,WP_023302148.1
BHE81_RS19910,putative acyl-CoA thioester hydrolase,WP_004142122.1
BHE81_RS19915,imidazolonepropionase,WP_072145324.1
BHE81_RS19920,formimidoylglutamase,WP_023302146.1
BHE81_RS19925,histidine utilization repressor,WP_002895358.1
BHE81_RS28835,urocanate hydratase,WP_004151699.1
BHE81_RS19935,histidine ammonia-lyase,WP_004183472.1
BHE81_RS19940,amino acid permease,WP_004147672.1
BHE81_RS19945,kinase inhibitor,WP_002895575.1
BHE81_RS19950,adenosylmethionine--8-amino-7-oxononanoate transaminase,WP_004223758.1
BHE81_RS19955,biotin synthase BioB,WP_002895580.1
BHE81_RS19960,8-amino-7-oxononanoate synthase,WP_004183475.1
BHE81_RS19965,malonyl-ACP O-methyltransferase BioC,WP_023302145.1
BHE81_RS19970,dethiobiotin synthase,WP_002895648.1
BHE81_RS19975,ABC transporter ATP-binding protein,WP_004152853.1
BHE81_RS19980,hypothetical protein,WP_002895652.1
BHE81_RS19990,excinuclease ABC subunit UvrB,WP_002895655.1
BHE81_RS20000,two-component system sensor histidine kinase PmrB,WP_149888824.1
BHE81_RS20005,two-component system response regulator PmrA,WP_023302144.1
BHE81_RS20010,phosphoethanolamine transferase EptA,WP_004176801.1
BHE81_RS20015,uridine diphosphate-N-acetylglucosamine-binding protein YvcK,WP_004142092.1
BHE81_RS20025,GTP 3'%2C8-cyclase MoaA,WP_002895665.1
BHE81_RS20030,molybdenum cofactor biosynthesis protein B,WP_002895668.1
BHE81_RS20035,cyclic pyranopterin monophosphate synthase MoaC,WP_002895670.1
BHE81_RS20040,molybdopterin synthase sulfur carrier subunit,WP_023302143.1
BHE81_RS20045,molybdopterin synthase catalytic subunit MoaE,WP_002895674.1
BHE81_RS20050,Bax inhibitor-1 family protein,WP_004142079.1
BHE81_RS20055,lysylphosphatidylglycerol synthase domain-containing protein,WP_002895728.1
BHE81_RS20060,cardiolipin synthase ClsB,WP_023302142.1
BHE81_RS20065,endonuclease/exonuclease/phosphatase family protein,WP_004179098.1
BHE81_RS20070,YbhQ family protein,WP_004176793.1
BHE81_RS20075,ABC transporter permease,WP_004142068.1
BHE81_RS20080,ABC transporter permease,WP_002895739.1
BHE81_RS20085,ATP-binding cassette domain-containing protein,WP_002895741.1
BHE81_RS20090,secretion protein HlyD,WP_004183481.1
BHE81_RS20095,transcriptional regulator CecR,WP_002895746.1
BHE81_RS20100,LysR substrate-binding domain-containing protein,WP_004179102.1
BHE81_RS28315,hypothetical protein,WP_004142057.1
BHE81_RS20105,MFS transporter,WP_019705008.1
BHE81_RS20110,SDR family NAD(P)-dependent oxidoreductase,WP_002895750.1
BHE81_RS20115,transketolase,WP_002895753.1
BHE81_RS20120,transketolase family protein,WP_002895757.1
BHE81_RS20125,ATP-dependent RNA helicase RhlE,WP_004151702.1
BHE81_RS20130,ATP-dependent DNA helicase DinG,WP_004147693.1
BHE81_RS20135,DNA-binding protein YbiB,WP_004893276.1
BHE81_RS20140,DUF1471 family protein YbiJ,WP_004176772.1
BHE81_RS20145,DksA/TraR family C4-type zinc finger protein,WP_002895824.1
BHE81_RS20150,YdgH/BhsA/McbA-like domain containing protein,WP_023302141.1
BHE81_RS20155,flavin reductase family protein,WP_002895828.1
BHE81_RS20160,23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF,WP_002895831.1
BHE81_RS20165,mechanosensitive channel protein,WP_004142041.1
BHE81_RS20170,glutamine ABC transporter ATP-binding protein GlnQ,WP_004142040.1
BHE81_RS20175,glutamine ABC transporter permease GlnP,WP_002895837.1
BHE81_RS20180,glutamine ABC transporter substrate-binding protein GlnH,WP_002895839.1
BHE81_RS20185,DNA starvation/stationary phase protection protein Dps,WP_002895841.1
BHE81_RS20190,threonine/homoserine exporter RhtA,WP_149888825.1
BHE81_RS20195,outer membrane protein OmpX,WP_023302140.1
BHE81_RS20200,phosphoethanolamine transferase,WP_023302139.1
BHE81_RS20205,manganase accumulation protein MntS,WP_002895851.1
BHE81_RS20210,manganese-binding transcriptional regulator MntR,WP_023302138.1
BHE81_RS20215,anion transporter,WP_023286178.1
BHE81_RS20220,glycoside hydrolase family 1 protein,WP_004176762.1
BHE81_RS20225,GntR family transcriptional regulator,WP_004151705.1
BHE81_RS20230,L%2CD-transpeptidase,WP_002895871.1
BHE81_RS20235,tyrosine-protein phosphatase,
BHE81_RS20240,ABC-F family ATPase,WP_002895876.1
BHE81_RS20245,glycoside hydrolase family 31 protein,WP_023302137.1
BHE81_RS20250,MFS transporter,WP_002895884.1
BHE81_RS20255,LacI family DNA-binding transcriptional regulator,WP_024622866.1
BHE81_RS20260,DUF1479 domain-containing protein,WP_004176744.1
BHE81_RS20265,Cof-type HAD-IIB family hydrolase,WP_023302135.1
BHE81_RS20270,formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme,WP_004179127.1
BHE81_RS20275,glycyl-radical enzyme activating protein,WP_004176738.1
BHE81_RS20280,molybdopterin-synthase adenylyltransferase MoeB,WP_004176736.1
BHE81_RS20285,molybdopterin molybdotransferase MoeA,WP_023300847.1
BHE81_RS20290,beta-aspartyl-peptidase,WP_004147725.1
BHE81_RS20295,glutathione ABC transporter ATP-binding protein GsiA,WP_004151710.1
BHE81_RS20300,glutathione ABC transporter substrate-binding protein GsiB,WP_012068490.1
BHE81_RS20305,glutathione ABC transporter permease GsiC,WP_002892997.1
BHE81_RS20310,glutathione ABC transporter permease GsiD,WP_004147729.1
BHE81_RS20315,30S ribosomal protein S12 methylthiotransferase RimO,WP_004141985.1
BHE81_RS20320,oligosaccharide MFS transporter,WP_004147732.1
BHE81_RS20325,biofilm formation regulator BssR,WP_004176728.1
BHE81_RS20330,PQQ-dependent sugar dehydrogenase,WP_004141981.1
BHE81_RS20335,glutathione S-transferase family protein,WP_004151714.1
BHE81_RS28320,hypothetical protein,WP_032409999.1
BHE81_RS20340,serine-type D-Ala-D-Ala carboxypeptidase,WP_004191175.1
BHE81_RS20345,DNA-binding transcriptional repressor DeoR,WP_004151717.1
